date[YYYYDDD],date,product,band,min,max,sum,range,LAImean,variance,standard_deviation,tot_pixels,pixels_pass_qa,per_cent_pixels_pass_qa
A2008161,2008-06-09,MOD15A2,Lai_1km,0.2000,0.3000,2.5000,0.1000,0.2778,0.0017,0.0416,9,9,100.00
A2008169,2008-06-17,MOD15A2,Lai_1km,0.2000,0.3000,2.3000,0.1000,0.2556,0.0025,0.0497,9,9,100.00
A2008177,2008-06-25,MOD15A2,Lai_1km,0.3000,0.4000,2.9000,0.1000,0.3222,0.0017,0.0416,9,9,100.00
A2008185,2008-07-03,MOD15A2,Lai_1km,0.2000,0.4000,2.8000,0.2000,0.3111,0.0032,0.0567,9,9,100.00
A2008193,2008-07-11,MOD15A2,Lai_1km,0.5000,0.8000,6.1000,0.3000,0.6778,0.0062,0.0786,9,9,100.00
A2008201,2008-07-19,MOD15A2,Lai_1km,0.7000,1.0000,7.3000,0.3000,0.8111,0.0165,0.1286,9,9,100.00
A2008209,2008-07-27,MOD15A2,Lai_1km,0.6000,1.1000,7.7000,0.5000,0.8556,0.0225,0.1499,9,9,100.00
A2008217,2008-08-04,MOD15A2,Lai_1km,0.8000,1.1000,8.4000,0.3000,0.9333,0.0067,0.0816,9,9,100.00
A2008225,2008-08-12,MOD15A2,Lai_1km,0.7000,1.0000,7.6000,0.3000,0.8444,0.0091,0.0956,9,9,100.00
A2008233,2008-08-20,MOD15A2,Lai_1km,0.7000,0.9000,7.0000,0.2000,0.7778,0.0062,0.0786,9,9,100.00
A2008241,2008-08-28,MOD15A2,Lai_1km,0.8000,1.0000,8.4000,0.2000,0.9333,0.0044,0.0667,9,9,100.00
A2008249,2008-09-05,MOD15A2,Lai_1km,0.7000,1.0000,7.5000,0.3000,0.8333,0.0111,0.1054,9,9,100.00
A2008257,2008-09-13,MOD15A2,Lai_1km,0.7000,0.9000,6.9000,0.2000,0.7667,0.0044,0.0667,9,9,100.00
A2008265,2008-09-21,MOD15A2,Lai_1km,0.6000,0.7000,6.0000,0.1000,0.6667,0.0022,0.0471,9,9,100.00
A2008273,2008-09-29,MOD15A2,Lai_1km,0.5000,0.5000,4.5000,0.0000,0.5000,0.0000,0.0000,9,9,100.00
A2008281,2008-10-07,MOD15A2,Lai_1km,0.4000,0.5000,4.3000,0.1000,0.4778,0.0017,0.0416,9,9,100.00
A2008289,2008-10-15,MOD15A2,Lai_1km,0.4000,0.5000,4.0000,0.1000,0.4444,0.0025,0.0497,9,9,100.00
A2008297,2008-10-23,MOD15A2,Lai_1km,0.4000,0.5000,3.7000,0.1000,0.4111,0.0010,0.0314,9,9,100.00
A2008305,2008-10-31,MOD15A2,Lai_1km,0.3000,0.3000,2.7000,0.0000,0.3000,0.0000,0.0000,9,9,100.00
A2008313,2008-11-08,MOD15A2,Lai_1km,0.2000,0.3000,2.0000,0.1000,0.2222,0.0017,0.0416,9,9,100.00
A2008321,2008-11-16,MOD15A2,Lai_1km,0.2000,0.3000,2.3000,0.1000,0.2556,0.0025,0.0497,9,9,100.00
A2008329,2008-11-24,MOD15A2,Lai_1km,0.2000,0.3000,2.3000,0.1000,0.2556,0.0025,0.0497,9,9,100.00
A2008337,2008-12-02,MOD15A2,Lai_1km,0.2000,0.3000,2.3000,0.1000,0.2556,0.0025,0.0497,9,9,100.00
A2008345,2008-12-10,MOD15A2,Lai_1km,0.2000,0.3000,2.0000,0.1000,0.2222,0.0017,0.0416,9,9,100.00
A2008353,2008-12-18,MOD15A2,Lai_1km,0.2000,0.2000,1.8000,0.0000,0.2000,0.0000,0.0000,9,9,100.00
A2008361,2008-12-26,MOD15A2,Lai_1km,0.2000,0.2000,1.8000,0.0000,0.2000,0.0000,0.0000,9,9,100.00
A2009001,2009-01-01,MOD15A2,Lai_1km,0.2000,0.3000,1.9000,0.1000,0.2111,0.0010,0.0314,9,9,100.00
A2009009,2009-01-09,MOD15A2,Lai_1km,0.2000,0.2000,1.8000,0.0000,0.2000,0.0000,0.0000,9,9,100.00
A2009017,2009-01-17,MOD15A2,Lai_1km,0.1000,0.2000,1.7000,0.1000,0.1889,0.0010,0.0314,9,9,100.00
A2009025,2009-01-25,MOD15A2,Lai_1km,0.1000,0.2000,1.5000,0.1000,0.1667,0.0022,0.0471,9,9,100.00
A2009033,2009-02-02,MOD15A2,Lai_1km,0.2000,0.2000,1.8000,0.0000,0.2000,0.0000,0.0000,9,9,100.00
A2009041,2009-02-10,MOD15A2,Lai_1km,0.2000,0.3000,1.9000,0.1000,0.2111,0.0010,0.0314,9,9,100.00
A2009049,2009-02-18,MOD15A2,Lai_1km,0.2000,0.3000,1.9000,0.1000,0.2111,0.0010,0.0314,9,9,100.00
A2009057,2009-02-26,MOD15A2,Lai_1km,0.2000,0.3000,2.1000,0.1000,0.2333,0.0022,0.0471,9,9,100.00
A2009065,2009-03-06,MOD15A2,Lai_1km,0.2000,0.2000,1.8000,0.0000,0.2000,0.0000,0.0000,9,9,100.00
A2009073,2009-03-14,MOD15A2,Lai_1km,0.2000,0.3000,2.1000,0.1000,0.2333,0.0022,0.0471,9,9,100.00
A2009081,2009-03-22,MOD15A2,Lai_1km,0.2000,0.3000,2.0000,0.1000,0.2222,0.0017,0.0416,9,9,100.00
A2009089,2009-03-30,MOD15A2,Lai_1km,0.2000,0.3000,2.4000,0.1000,0.2667,0.0022,0.0471,9,9,100.00
A2009097,2009-04-07,MOD15A2,Lai_1km,0.2000,0.3000,2.4000,0.1000,0.2667,0.0022,0.0471,9,9,100.00
A2009105,2009-04-15,MOD15A2,Lai_1km,0.2000,0.3000,2.5000,0.1000,0.2778,0.0017,0.0416,9,9,100.00
A2009113,2009-04-23,MOD15A2,Lai_1km,0.2000,0.3000,2.6000,0.1000,0.2889,0.0010,0.0314,9,9,100.00
A2009121,2009-05-01,MOD15A2,Lai_1km,0.3000,0.3000,2.7000,0.0000,0.3000,0.0000,0.0000,9,9,100.00
A2009129,2009-05-09,MOD15A2,Lai_1km,0.3000,0.3000,2.7000,0.0000,0.3000,0.0000,0.0000,9,9,100.00
A2009137,2009-05-17,MOD15A2,Lai_1km,0.3000,0.4000,3.0000,0.1000,0.3333,0.0022,0.0471,9,9,100.00
A2009145,2009-05-25,MOD15A2,Lai_1km,0.3000,0.3000,2.7000,0.0000,0.3000,0.0000,0.0000,9,9,100.00
A2009153,2009-06-02,MOD15A2,Lai_1km,0.3000,0.3000,2.7000,0.0000,0.3000,0.0000,0.0000,9,9,100.00
A2009161,2009-06-10,MOD15A2,Lai_1km,0.3000,0.3000,2.7000,0.0000,0.3000,0.0000,0.0000,9,9,100.00
A2009169,2009-06-18,MOD15A2,Lai_1km,0.2000,0.3000,2.5000,0.1000,0.2778,0.0017,0.0416,9,9,100.00
A2009177,2009-06-26,MOD15A2,Lai_1km,0.3000,0.3000,2.7000,0.0000,0.3000,0.0000,0.0000,9,9,100.00
A2009185,2009-07-04,MOD15A2,Lai_1km,0.3000,0.4000,3.5000,0.1000,0.3889,0.0010,0.0314,9,9,100.00
A2009193,2009-07-12,MOD15A2,Lai_1km,0.4000,0.5000,4.4000,0.1000,0.4889,0.0010,0.0314,9,9,100.00
A2009201,2009-07-20,MOD15A2,Lai_1km,0.5000,0.6000,4.7000,0.1000,0.5222,0.0017,0.0416,9,9,100.00
A2009209,2009-07-28,MOD15A2,Lai_1km,0.5000,0.5000,4.5000,0.0000,0.5000,0.0000,0.0000,9,9,100.00
A2009217,2009-08-05,MOD15A2,Lai_1km,0.4000,0.6000,4.3000,0.2000,0.4778,0.0062,0.0786,9,9,100.00
A2009225,2009-08-13,MOD15A2,Lai_1km,0.4000,0.5000,4.0000,0.1000,0.4444,0.0025,0.0497,9,9,100.00
A2009233,2009-08-21,MOD15A2,Lai_1km,0.4000,0.5000,4.4000,0.1000,0.4889,0.0010,0.0314,9,9,100.00
A2009241,2009-08-29,MOD15A2,Lai_1km,0.4000,0.5000,3.7000,0.1000,0.4111,0.0010,0.0314,9,9,100.00
A2009249,2009-09-06,MOD15A2,Lai_1km,0.4000,0.5000,4.1000,0.1000,0.4556,0.0025,0.0497,9,9,100.00
A2009257,2009-09-14,MOD15A2,Lai_1km,0.3000,0.4000,2.9000,0.1000,0.3222,0.0017,0.0416,9,9,100.00
A2009265,2009-09-22,MOD15A2,Lai_1km,0.3000,0.4000,2.8000,0.1000,0.3111,0.0010,0.0314,9,9,100.00
A2009273,2009-09-30,MOD15A2,Lai_1km,0.2000,0.3000,2.4000,0.1000,0.2667,0.0022,0.0471,9,9,100.00
A2009281,2009-10-08,MOD15A2,Lai_1km,0.2000,0.3000,2.5000,0.1000,0.2778,0.0017,0.0416,9,9,100.00
A2009289,2009-10-16,MOD15A2,Lai_1km,0.2000,0.3000,2.6000,0.1000,0.2889,0.0010,0.0314,9,9,100.00
A2009297,2009-10-24,MOD15A2,Lai_1km,0.3000,0.3000,2.7000,0.0000,0.3000,0.0000,0.0000,9,9,100.00
A2009305,2009-11-01,MOD15A2,Lai_1km,0.2000,0.3000,2.2000,0.1000,0.2444,0.0025,0.0497,9,9,100.00
A2009313,2009-11-09,MOD15A2,Lai_1km,0.2000,0.3000,2.2000,0.1000,0.2444,0.0025,0.0497,9,9,100.00
A2009321,2009-11-17,MOD15A2,Lai_1km,0.2000,0.3000,1.9000,0.1000,0.2111,0.0010,0.0314,9,9,100.00
A2009329,2009-11-25,MOD15A2,Lai_1km,0.2000,0.3000,1.9000,0.1000,0.2111,0.0010,0.0314,9,9,100.00
A2009337,2009-12-03,MOD15A2,Lai_1km,0.2000,0.2000,1.8000,0.0000,0.2000,0.0000,0.0000,9,9,100.00
A2009345,2009-12-11,MOD15A2,Lai_1km,0.2000,0.2000,1.8000,0.0000,0.2000,0.0000,0.0000,9,9,100.00
A2009353,2009-12-19,MOD15A2,Lai_1km,0.2000,0.2000,1.8000,0.0000,0.2000,0.0000,0.0000,9,9,100.00
A2009361,2009-12-27,MOD15A2,Lai_1km,0.1000,0.2000,1.5000,0.1000,0.1667,0.0022,0.0471,9,9,100.00
A2010001,2010-01-01,MOD15A2,Lai_1km,0.1000,0.2000,1.7000,0.1000,0.1889,0.0010,0.0314,9,9,100.00
A2010009,2010-01-09,MOD15A2,Lai_1km,0.1000,0.2000,1.4000,0.1000,0.1556,0.0025,0.0497,9,9,100.00
A2010017,2010-01-17,MOD15A2,Lai_1km,0.2000,0.2000,1.8000,0.0000,0.2000,0.0000,0.0000,9,9,100.00
A2010025,2010-01-25,MOD15A2,Lai_1km,0.1000,0.2000,1.2000,0.1000,0.1333,0.0022,0.0471,9,9,100.00
A2010033,2010-02-02,MOD15A2,Lai_1km,0.1000,0.2000,1.4000,0.1000,0.1556,0.0025,0.0497,9,9,100.00
A2010041,2010-02-10,MOD15A2,Lai_1km,0.2000,0.3000,2.2000,0.1000,0.2444,0.0025,0.0497,9,9,100.00
A2010049,2010-02-18,MOD15A2,Lai_1km,0.2000,0.2000,1.8000,0.0000,0.2000,0.0000,0.0000,9,9,100.00
A2010057,2010-02-26,MOD15A2,Lai_1km,0.2000,0.3000,2.2000,0.1000,0.2444,0.0025,0.0497,9,9,100.00
A2010065,2010-03-06,MOD15A2,Lai_1km,0.2000,0.2000,1.8000,0.0000,0.2000,0.0000,0.0000,9,9,100.00
A2010073,2010-03-14,MOD15A2,Lai_1km,0.2000,0.3000,2.2000,0.1000,0.2444,0.0025,0.0497,9,9,100.00
A2010081,2010-03-22,MOD15A2,Lai_1km,0.2000,0.3000,1.9000,0.1000,0.2111,0.0010,0.0314,9,9,100.00
A2010089,2010-03-30,MOD15A2,Lai_1km,0.2000,0.3000,2.0000,0.1000,0.2222,0.0017,0.0416,9,9,100.00
A2010097,2010-04-07,MOD15A2,Lai_1km,0.2000,0.3000,2.6000,0.1000,0.2889,0.0010,0.0314,9,9,100.00
A2010105,2010-04-15,MOD15A2,Lai_1km,0.2000,0.3000,2.1000,0.1000,0.2333,0.0022,0.0471,9,9,100.00
A2010113,2010-04-23,MOD15A2,Lai_1km,0.3000,0.4000,3.0000,0.1000,0.3333,0.0022,0.0471,9,9,100.00
A2010121,2010-05-01,MOD15A2,Lai_1km,0.3000,0.4000,3.4000,0.1000,0.3778,0.0017,0.0416,9,9,100.00
A2010129,2010-05-09,MOD15A2,Lai_1km,0.3000,0.4000,2.9000,0.1000,0.3222,0.0017,0.0416,9,9,100.00
A2010137,2010-05-17,MOD15A2,Lai_1km,0.3000,0.4000,3.3000,0.1000,0.3667,0.0022,0.0471,9,9,100.00
A2010145,2010-05-25,MOD15A2,Lai_1km,0.3000,0.4000,3.0000,0.1000,0.3333,0.0022,0.0471,9,9,100.00
A2010153,2010-06-02,MOD15A2,Lai_1km,0.3000,0.4000,3.1000,0.1000,0.3444,0.0025,0.0497,9,9,100.00
A2010161,2010-06-10,MOD15A2,Lai_1km,0.3000,0.3000,2.7000,0.0000,0.3000,0.0000,0.0000,9,9,100.00
A2010169,2010-06-18,MOD15A2,Lai_1km,0.3000,0.4000,2.8000,0.1000,0.3111,0.0010,0.0314,9,9,100.00
A2010177,2010-06-26,MOD15A2,Lai_1km,0.3000,0.3000,2.7000,0.0000,0.3000,0.0000,0.0000,9,9,100.00
A2010185,2010-07-04,MOD15A2,Lai_1km,0.3000,0.4000,2.8000,0.1000,0.3111,0.0010,0.0314,9,9,100.00
A2010193,2010-07-12,MOD15A2,Lai_1km,0.3000,0.3000,2.7000,0.0000,0.3000,0.0000,0.0000,9,9,100.00
A2010201,2010-07-20,MOD15A2,Lai_1km,0.3000,0.3000,2.7000,0.0000,0.3000,0.0000,0.0000,9,9,100.00
A2010209,2010-07-28,MOD15A2,Lai_1km,0.5000,0.7000,5.4000,0.2000,0.6000,0.0067,0.0816,9,9,100.00
A2010217,2010-08-05,MOD15A2,Lai_1km,0.6000,0.8000,5.7000,0.2000,0.6333,0.0044,0.0667,9,9,100.00
A2010225,2010-08-13,MOD15A2,Lai_1km,0.7000,0.9000,6.9000,0.2000,0.7667,0.0044,0.0667,9,9,100.00
A2010233,2010-08-21,MOD15A2,Lai_1km,0.7000,1.0000,8.3000,0.3000,0.9222,0.0106,0.1030,9,9,100.00
A2010241,2010-08-29,MOD15A2,Lai_1km,0.7000,0.9000,7.3000,0.2000,0.8111,0.0054,0.0737,9,9,100.00
A2010249,2010-09-06,MOD15A2,Lai_1km,0.6000,0.8000,6.6000,0.2000,0.7333,0.0067,0.0816,9,9,100.00
A2010257,2010-09-14,MOD15A2,Lai_1km,0.5000,0.7000,5.4000,0.2000,0.6000,0.0089,0.0943,9,9,100.00
A2010265,2010-09-22,MOD15A2,Lai_1km,0.5000,0.6000,4.7000,0.1000,0.5222,0.0017,0.0416,9,9,100.00
A2010273,2010-09-30,MOD15A2,Lai_1km,0.4000,0.5000,4.4000,0.1000,0.4889,0.0010,0.0314,9,9,100.00
A2010281,2010-10-08,MOD15A2,Lai_1km,0.4000,0.5000,4.4000,0.1000,0.4889,0.0010,0.0314,9,9,100.00
A2010289,2010-10-16,MOD15A2,Lai_1km,0.4000,0.5000,4.3000,0.1000,0.4778,0.0017,0.0416,9,9,100.00
A2010297,2010-10-24,MOD15A2,Lai_1km,0.4000,0.5000,4.3000,0.1000,0.4778,0.0017,0.0416,9,9,100.00
A2010305,2010-11-01,MOD15A2,Lai_1km,0.3000,0.5000,4.0000,0.2000,0.4444,0.0069,0.0831,9,9,100.00
A2010313,2010-11-09,MOD15A2,Lai_1km,0.3000,0.3000,2.7000,0.0000,0.3000,0.0000,0.0000,9,9,100.00
A2010321,2010-11-17,MOD15A2,Lai_1km,0.3000,0.4000,2.8000,0.1000,0.3111,0.0010,0.0314,9,9,100.00
A2010329,2010-11-25,MOD15A2,Lai_1km,0.3000,0.3000,2.7000,0.0000,0.3000,0.0000,0.0000,9,9,100.00
A2010337,2010-12-03,MOD15A2,Lai_1km,0.3000,0.3000,2.7000,0.0000,0.3000,0.0000,0.0000,9,9,100.00
A2010345,2010-12-11,MOD15A2,Lai_1km,0.2000,0.3000,2.6000,0.1000,0.2889,0.0010,0.0314,9,9,100.00
A2010353,2010-12-19,MOD15A2,Lai_1km,0.2000,0.3000,2.3000,0.1000,0.2556,0.0025,0.0497,9,9,100.00
A2010361,2010-12-27,MOD15A2,Lai_1km,0.2000,0.3000,2.0000,0.1000,0.2222,0.0017,0.0416,9,9,100.00
A2011001,2011-01-01,MOD15A2,Lai_1km,0.2000,0.3000,2.0000,0.1000,0.2222,0.0017,0.0416,9,9,100.00
A2011009,2011-01-09,MOD15A2,Lai_1km,0.2000,0.3000,1.9000,0.1000,0.2111,0.0010,0.0314,9,9,100.00
A2011017,2011-01-17,MOD15A2,Lai_1km,0.2000,0.2000,1.8000,0.0000,0.2000,0.0000,0.0000,9,9,100.00
A2011025,2011-01-25,MOD15A2,Lai_1km,0.2000,0.3000,2.0000,0.1000,0.2222,0.0017,0.0416,9,9,100.00
A2011033,2011-02-02,MOD15A2,Lai_1km,0.2000,0.2000,1.8000,0.0000,0.2000,0.0000,0.0000,9,9,100.00
A2011041,2011-02-10,MOD15A2,Lai_1km,0.2000,0.3000,2.0000,0.1000,0.2222,0.0017,0.0416,9,9,100.00
A2011049,2011-02-18,MOD15A2,Lai_1km,0.2000,0.2000,1.8000,0.0000,0.2000,0.0000,0.0000,9,9,100.00
A2011057,2011-02-26,MOD15A2,Lai_1km,0.2000,0.2000,1.8000,0.0000,0.2000,0.0000,0.0000,9,9,100.00
A2011065,2011-03-06,MOD15A2,Lai_1km,0.2000,0.2000,1.8000,0.0000,0.2000,0.0000,0.0000,9,9,100.00
A2011073,2011-03-14,MOD15A2,Lai_1km,0.2000,0.3000,1.9000,0.1000,0.2111,0.0010,0.0314,9,9,100.00
A2011081,2011-03-22,MOD15A2,Lai_1km,0.2000,0.3000,2.0000,0.1000,0.2222,0.0017,0.0416,9,9,100.00
A2011089,2011-03-30,MOD15A2,Lai_1km,0.2000,0.3000,2.1000,0.1000,0.2333,0.0022,0.0471,9,9,100.00
A2011097,2011-04-07,MOD15A2,Lai_1km,0.2000,0.3000,2.3000,0.1000,0.2556,0.0025,0.0497,9,9,100.00
A2011105,2011-04-15,MOD15A2,Lai_1km,0.2000,0.3000,2.5000,0.1000,0.2778,0.0017,0.0416,9,9,100.00
A2011113,2011-04-23,MOD15A2,Lai_1km,0.2000,0.3000,2.2000,0.1000,0.2444,0.0025,0.0497,9,9,100.00
A2011121,2011-05-01,MOD15A2,Lai_1km,0.2000,0.3000,2.5000,0.1000,0.2778,0.0017,0.0416,9,9,100.00
A2011129,2011-05-09,MOD15A2,Lai_1km,0.2000,0.3000,2.5000,0.1000,0.2778,0.0017,0.0416,9,9,100.00
A2011137,2011-05-17,MOD15A2,Lai_1km,0.2000,0.3000,2.4000,0.1000,0.2667,0.0022,0.0471,9,9,100.00
A2011145,2011-05-25,MOD15A2,Lai_1km,0.2000,0.3000,2.3000,0.1000,0.2556,0.0025,0.0497,9,9,100.00
A2011153,2011-06-02,MOD15A2,Lai_1km,0.2000,0.3000,2.5000,0.1000,0.2778,0.0017,0.0416,9,9,100.00
A2011161,2011-06-10,MOD15A2,Lai_1km,0.2000,0.3000,2.1000,0.1000,0.2333,0.0022,0.0471,9,9,100.00
A2011169,2011-06-18,MOD15A2,Lai_1km,0.2000,0.3000,2.5000,0.1000,0.2778,0.0017,0.0416,9,9,100.00
A2011177,2011-06-26,MOD15A2,Lai_1km,0.2000,0.3000,2.2000,0.1000,0.2444,0.0025,0.0497,9,9,100.00
A2011185,2011-07-04,MOD15A2,Lai_1km,0.2000,0.5000,3.1000,0.3000,0.3444,0.0069,0.0831,9,9,100.00
A2011193,2011-07-12,MOD15A2,Lai_1km,0.3000,0.4000,2.8000,0.1000,0.3111,0.0010,0.0314,9,9,100.00
A2011201,2011-07-20,MOD15A2,Lai_1km,0.5000,0.8000,5.8000,0.3000,0.6444,0.0114,0.1066,9,9,100.00
A2011209,2011-07-28,MOD15A2,Lai_1km,0.5000,0.9000,6.8000,0.4000,0.7556,0.0180,0.1343,9,9,100.00
A2011217,2011-08-05,MOD15A2,Lai_1km,0.4000,0.7000,5.2000,0.3000,0.5778,0.0062,0.0786,9,9,100.00
A2011225,2011-08-13,MOD15A2,Lai_1km,0.6000,0.8000,6.2000,0.2000,0.6889,0.0054,0.0737,9,9,100.00
A2011233,2011-08-21,MOD15A2,Lai_1km,0.8000,0.9000,7.6000,0.1000,0.8444,0.0025,0.0497,9,9,100.00
A2011241,2011-08-29,MOD15A2,Lai_1km,0.7000,0.8000,6.5000,0.1000,0.7222,0.0017,0.0416,9,9,100.00
A2011249,2011-09-06,MOD15A2,Lai_1km,0.5000,0.7000,5.8000,0.2000,0.6444,0.0047,0.0685,9,9,100.00
A2011257,2011-09-14,MOD15A2,Lai_1km,0.6000,0.7000,6.2000,0.1000,0.6889,0.0010,0.0314,9,9,100.00
A2011265,2011-09-22,MOD15A2,Lai_1km,0.6000,0.7000,5.8000,0.1000,0.6444,0.0025,0.0497,9,9,100.00
A2011273,2011-09-30,MOD15A2,Lai_1km,0.5000,0.7000,5.1000,0.2000,0.5667,0.0067,0.0816,9,9,100.00
A2011281,2011-10-08,MOD15A2,Lai_1km,0.5000,0.5000,4.5000,0.0000,0.5000,0.0000,0.0000,9,9,100.00
A2011289,2011-10-16,MOD15A2,Lai_1km,0.4000,0.5000,4.2000,0.1000,0.4667,0.0022,0.0471,9,9,100.00
A2011297,2011-10-24,MOD15A2,Lai_1km,0.3000,0.5000,3.7000,0.2000,0.4111,0.0032,0.0567,9,9,100.00
A2011305,2011-11-01,MOD15A2,Lai_1km,0.4000,0.5000,4.1000,0.1000,0.4556,0.0025,0.0497,9,9,100.00
A2011313,2011-11-09,MOD15A2,Lai_1km,0.3000,0.4000,3.3000,0.1000,0.3667,0.0022,0.0471,9,9,100.00
A2011321,2011-11-17,MOD15A2,Lai_1km,0.3000,0.3000,2.7000,0.0000,0.3000,0.0000,0.0000,9,9,100.00
A2011329,2011-11-25,MOD15A2,Lai_1km,0.2000,0.3000,2.5000,0.1000,0.2778,0.0017,0.0416,9,9,100.00
A2011337,2011-12-03,MOD15A2,Lai_1km,0.2000,0.3000,2.5000,0.1000,0.2778,0.0017,0.0416,9,9,100.00
A2011345,2011-12-11,MOD15A2,Lai_1km,0.2000,0.3000,2.6000,0.1000,0.2889,0.0010,0.0314,9,9,100.00
A2011353,2011-12-19,MOD15A2,Lai_1km,0.2000,0.3000,2.4000,0.1000,0.2667,0.0022,0.0471,9,9,100.00
A2011361,2011-12-27,MOD15A2,Lai_1km,0.2000,0.3000,2.2000,0.1000,0.2444,0.0025,0.0497,9,9,100.00
A2012001,2012-01-01,MOD15A2,Lai_1km,0.2000,0.3000,2.3000,0.1000,0.2556,0.0025,0.0497,9,9,100.00
A2012009,2012-01-09,MOD15A2,Lai_1km,0.2000,0.2000,1.8000,0.0000,0.2000,0.0000,0.0000,9,9,100.00
A2012017,2012-01-17,MOD15A2,Lai_1km,0.2000,0.3000,2.2000,0.1000,0.2444,0.0025,0.0497,9,9,100.00
A2012025,2012-01-25,MOD15A2,Lai_1km,0.2000,0.3000,2.2000,0.1000,0.2444,0.0025,0.0497,9,9,100.00
A2012033,2012-02-02,MOD15A2,Lai_1km,0.2000,0.2000,1.8000,0.0000,0.2000,0.0000,0.0000,9,9,100.00
A2012041,2012-02-10,MOD15A2,Lai_1km,0.2000,0.3000,2.4000,0.1000,0.2667,0.0022,0.0471,9,9,100.00
A2012049,2012-02-18,MOD15A2,Lai_1km,0.2000,0.3000,2.4000,0.1000,0.2667,0.0022,0.0471,9,9,100.00
A2012057,2012-02-26,MOD15A2,Lai_1km,0.2000,0.3000,2.2000,0.1000,0.2444,0.0025,0.0497,9,9,100.00
A2012065,2012-03-05,MOD15A2,Lai_1km,0.2000,0.3000,2.4000,0.1000,0.2667,0.0022,0.0471,9,9,100.00
A2012073,2012-03-13,MOD15A2,Lai_1km,0.2000,0.3000,2.3000,0.1000,0.2556,0.0025,0.0497,9,9,100.00
A2012081,2012-03-21,MOD15A2,Lai_1km,0.2000,0.3000,1.9000,0.1000,0.2111,0.0010,0.0314,9,9,100.00
A2012089,2012-03-29,MOD15A2,Lai_1km,0.2000,0.3000,2.5000,0.1000,0.2778,0.0017,0.0416,9,9,100.00
A2012097,2012-04-06,MOD15A2,Lai_1km,0.2000,0.3000,2.2000,0.1000,0.2444,0.0025,0.0497,9,9,100.00
A2012105,2012-04-14,MOD15A2,Lai_1km,0.3000,0.4000,3.3000,0.1000,0.3667,0.0022,0.0471,9,9,100.00
A2012113,2012-04-22,MOD15A2,Lai_1km,0.4000,0.4000,3.6000,0.0000,0.4000,0.0000,0.0000,9,9,100.00
A2012121,2012-04-30,MOD15A2,Lai_1km,0.4000,0.4000,3.6000,0.0000,0.4000,0.0000,0.0000,9,9,100.00
A2012129,2012-05-08,MOD15A2,Lai_1km,0.3000,0.4000,3.4000,0.1000,0.3778,0.0017,0.0416,9,9,100.00
A2012137,2012-05-16,MOD15A2,Lai_1km,0.3000,0.4000,3.3000,0.1000,0.3667,0.0022,0.0471,9,9,100.00
A2012145,2012-05-24,MOD15A2,Lai_1km,0.3000,0.4000,3.1000,0.1000,0.3444,0.0025,0.0497,9,9,100.00
A2012153,2012-06-01,MOD15A2,Lai_1km,0.3000,0.5000,3.6000,0.2000,0.4000,0.0044,0.0667,9,9,100.00
A2012161,2012-06-09,MOD15A2,Lai_1km,0.3000,0.3000,2.7000,0.0000,0.3000,0.0000,0.0000,9,9,100.00
A2012169,2012-06-17,MOD15A2,Lai_1km,0.3000,0.4000,3.3000,0.1000,0.3667,0.0022,0.0471,9,9,100.00
A2012177,2012-06-25,MOD15A2,Lai_1km,0.3000,0.3000,2.7000,0.0000,0.3000,0.0000,0.0000,9,9,100.00
A2012185,2012-07-03,MOD15A2,Lai_1km,0.3000,0.3000,2.7000,0.0000,0.3000,0.0000,0.0000,9,9,100.00
A2012193,2012-07-11,MOD15A2,Lai_1km,0.3000,0.5000,3.7000,0.2000,0.4111,0.0054,0.0737,9,9,100.00
A2012201,2012-07-19,MOD15A2,Lai_1km,0.5000,0.6000,4.8000,0.1000,0.5333,0.0022,0.0471,9,9,100.00
A2012209,2012-07-27,MOD15A2,Lai_1km,0.6000,0.7000,5.7000,0.1000,0.6333,0.0022,0.0471,9,9,100.00
A2012217,2012-08-04,MOD15A2,Lai_1km,0.5000,0.6000,4.9000,0.1000,0.5444,0.0025,0.0497,9,9,100.00
A2012225,2012-08-12,MOD15A2,Lai_1km,0.5000,0.7000,5.3000,0.2000,0.5889,0.0077,0.0875,9,9,100.00
A2012233,2012-08-20,MOD15A2,Lai_1km,0.5000,0.6000,5.0000,0.1000,0.5556,0.0025,0.0497,9,9,100.00
A2012241,2012-08-28,MOD15A2,Lai_1km,0.5000,0.6000,4.9000,0.1000,0.5444,0.0025,0.0497,9,9,100.00
A2012249,2012-09-05,MOD15A2,Lai_1km,0.5000,0.7000,5.4000,0.2000,0.6000,0.0044,0.0667,9,9,100.00
A2012257,2012-09-13,MOD15A2,Lai_1km,0.6000,0.8000,6.1000,0.2000,0.6778,0.0040,0.0629,9,9,100.00
A2012265,2012-09-21,MOD15A2,Lai_1km,0.5000,0.6000,5.3000,0.1000,0.5889,0.0010,0.0314,9,9,100.00
A2012273,2012-09-29,MOD15A2,Lai_1km,0.5000,0.5000,4.5000,0.0000,0.5000,0.0000,0.0000,9,9,100.00
A2012281,2012-10-07,MOD15A2,Lai_1km,0.4000,0.5000,4.4000,0.1000,0.4889,0.0010,0.0314,9,9,100.00
A2012289,2012-10-15,MOD15A2,Lai_1km,0.4000,0.5000,4.2000,0.1000,0.4667,0.0022,0.0471,9,9,100.00
